Year,County,NCICCode,Violent_sum,Homicide_sum,ForRape_sum,Robbery_sum,AggAssault_sum,Property_sum,Burglary_sum,VehicleTheft_sum,LTtotal_sum,ViolentClr_sum,HomicideClr_sum,ForRapeClr_sum,RobberyClr_sum,AggAssaultClr_sum,PropertyClr_sum,BurglaryClr_sum,VehicleTheftClr_sum,LTtotalClr_sum,TotalStructural_sum,TotalMobile_sum,TotalOther_sum,GrandTotal_sum,GrandTotClr_sum,RAPact_sum,ARAPact_sum,FROBact_sum,KROBact_sum,OROBact_sum,SROBact_sum,HROBnao_sum,CHROBnao_sum,GROBnao_sum,CROBnao_sum,RROBnao_sum,BROBnao_sum,MROBnao_sum,FASSact_sum,KASSact_sum,OASSact_sum,HASSact_sum,FEBURact_Sum,UBURact_sum,RESDBUR_sum,RNBURnao_sum,RDBURnao_sum,RUBURnao_sum,NRESBUR_sum,NNBURnao_sum,NDBURnao_sum,NUBURnao_sum,MVTact_sum,TMVTact_sum,OMVTact_sum,PPLARnao_sum,PSLARnao_sum,SLLARnao_sum,MVLARnao_sum,MVPLARnao_sum,BILARnao_sum,FBLARnao_sum,COMLARnao_sum,AOLARnao_sum,LT400nao_sum,LT200400nao_sum,LT200nao_sum,LT50200nao_sum,LT50nao_sum
1985,Los Angeles County,Glendora,192,1,10,48,133,1392,490,86,816,131,1,4,24,102,248,93,15,140,3,1,7,11,0,7,3,28,3,2,15,4,6,2,10,4,10,12,11,6,28,88,318,172,328,95,161,72,162,110,27,25,51,18,17,0,1,75,214,82,124,166,4,150,197,143,,277,199
1986,Los Angeles County,Glendora,335,0,6,42,287,1359,447,105,807,237,0,2,18,217,292,89,18,185,6,3,2,11,1,4,2,23,4,4,11,9,1,1,17,2,5,7,13,11,51,212,296,151,284,76,145,63,163,92,24,47,58,35,12,2,11,107,240,71,80,151,5,140,221,157,,224,205
1987,Los Angeles County,Glendora,287,3,12,38,234,1183,340,127,716,224,2,9,16,197,274,71,53,150,7,1,2,10,1,10,2,17,2,0,19,11,6,5,5,3,4,4,12,7,61,154,192,148,243,73,118,52,97,58,13,26,68,39,20,1,4,75,120,141,76,142,6,151,200,113,,206,197
1988,Los Angeles County,Glendora,149,0,7,44,98,1318,377,164,777,93,0,5,17,71,261,56,56,149,4,3,4,11,2,6,1,25,0,1,18,9,12,3,6,2,5,7,6,7,58,27,215,162,260,57,117,86,117,58,14,45,93,61,10,2,5,98,130,160,92,159,3,128,208,146,,206,217
1989,Los Angeles County,Glendora,151,0,5,47,99,1561,415,169,977,113,0,4,24,85,387,110,40,237,7,1,2,10,6,5,0,25,3,5,14,6,16,2,2,7,11,3,14,15,44,26,214,201,269,51,140,78,146,75,24,47,101,57,11,0,7,137,156,250,132,158,8,129,252,188,,259,278
1990,Los Angeles County,Glendora,198,1,13,49,135,1530,409,175,946,137,1,9,22,105,367,105,48,214,5,2,0,7,3,13,0,25,9,3,12,13,16,4,3,3,6,4,20,16,51,48,247,162,251,53,131,67,158,100,16,42,83,75,17,0,3,134,189,218,123,143,5,131,247,182,,231,286
1991,Los Angeles County,Glendora,198,0,8,59,131,1512,404,167,941,136,0,8,29,99,281,56,43,182,8,4,8,20,5,8,0,27,3,8,21,15,14,2,1,8,16,3,9,9,67,46,251,153,232,52,121,59,172,105,12,55,100,50,17,2,1,70,164,205,144,164,0,191,272,191,,236,242
1992,Los Angeles County,Glendora,182,1,10,57,114,1545,425,169,951,105,0,6,22,77,252,49,47,156,7,4,10,21,3,8,2,33,4,5,15,13,16,3,0,4,18,3,16,11,45,42,256,169,277,58,135,84,148,85,20,43,102,47,20,1,1,77,181,221,120,153,10,187,280,195,,223,253
1993,Los Angeles County,Glendora,154,0,13,46,95,1741,474,191,1076,77,0,9,16,52,248,64,32,152,2,4,1,7,2,12,1,28,2,2,14,10,10,4,5,4,9,4,14,19,43,19,267,207,306,85,132,89,168,86,18,64,127,53,11,0,2,79,241,213,181,208,7,145,341,204,,269,262
1994,Los Angeles County,Glendora,159,3,6,56,94,1694,436,190,1068,83,1,5,13,64,290,71,35,184,2,3,2,7,1,3,3,29,3,4,20,19,14,2,6,1,8,6,14,12,54,14,253,183,289,91,107,91,147,76,11,60,106,69,15,1,2,84,318,195,165,145,6,152,275,240,,247,306
1995,Los Angeles County,Glendora,141,0,11,56,74,1446,343,174,929,97,1,9,21,66,322,86,35,201,3,2,6,11,3,8,3,18,5,3,30,22,21,1,5,4,2,1,12,6,44,12,196,147,213,53,81,79,130,64,25,41,104,63,7,1,4,95,245,166,84,150,4,180,238,162,,253,276
